OID_,SOURCE_ID,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,X,Y,CLUSTER_ID,IS_SEED
1,1,21.463999999999999,37.984000000000002,20.204000000000001,27.759017560000000,0.291577408000000,0.277889921000000,0.420956070000000,0.531908172000000,34.299999999999997,-0.099613318000000,-0.121759654000000,34.399613320000000,0.515937684000000,0.537786465000000,1.769660827000000,1.805672760000000,-93.529936169999999,44.077728450000002,1,0
2,2,22.074000000000002,38.798000000000002,20.385000000000002,28.331928430000001,0.292674191000000,0.274740439000000,0.413070862000000,0.525413681000000,35.137000000000000,-0.097153476000000,-0.126253738000000,35.234153480000003,0.510915776000000,0.539725937000000,1.757633415000000,1.804846277000000,-93.529936169999999,44.077689450000001,1,0
3,3,25.568999999999999,40.439000000000000,22.039000000000001,30.412738579999999,0.258938717000000,0.225275724000000,0.338192818000000,0.544993694000000,33.270000000000003,-0.052726385000000,-0.108855498000000,33.322726379999999,0.428790685000000,0.487440388000000,1.581563612000000,1.661775850000000,-93.529936169999999,44.077650450000000,1,0
4,4,21.765000000000001,37.475000000000001,20.306000000000001,27.631048270000001,0.280966664000000,0.265192438000000,0.403503365000000,0.541854570000000,32.878999999999998,-0.088049682000000,-0.113727906000000,32.967049680000002,0.495535346000000,0.521257065000000,1.721801057000000,1.762047812000000,-93.529936169999999,44.077611449999999,1,0
5,5,23.062000000000001,39.829000000000001,21.445000000000000,29.314917189999999,0.283099102000000,0.266604125000000,0.404550499000000,0.538426774000000,35.151000000000003,-0.089430374000000,-0.116273003000000,35.240430369999999,0.497824032000000,0.524665959000000,1.727040153000000,1.769357333000000,-93.529936169999999,44.077572449999998,1,0
6,6,23.315999999999999,39.088999999999999,20.538000000000000,28.829355530000001,0.281270486000000,0.252752183000000,0.376740631000000,0.525416358000000,34.323999999999998,-0.077723256000000,-0.124613289000000,34.401723259999997,0.475150040000000,0.522761925000000,1.676488248000000,1.748829406000000,-93.529936169999999,44.077533449999997,1,0
7,7,22.780000000000001,39.110999999999997,20.515999999999998,28.690910160000001,0.287414210000000,0.263867121000000,0.394706949000000,0.524558308000000,34.926000000000002,-0.087601781000000,-0.126064533000000,35.013601780000002,0.493382091000000,0.531949248000000,1.716900790000000,1.777803362000000,-93.529936169999999,44.077494450000003,1,0
8,8,23.771000000000001,39.581000000000003,21.427000000000000,29.387255350000000,0.273110325000000,0.249558025000000,0.377101968000000,0.541345595000000,33.963999999999999,-0.074329728000000,-0.113037427000000,34.038329730000001,0.469853920000000,0.509304424000000,1.665096126000000,1.723665447000000,-93.529936169999999,44.077455450000002,1,0
9,9,25.594999999999999,40.948000000000000,21.971000000000000,30.629874139999998,0.265174337000000,0.230722991000000,0.344453917000000,0.536558562000000,34.329999999999998,-0.057787469000000,-0.115107215000000,34.387787469999999,0.438123320000000,0.497698943000000,1.599843719000000,1.683283355000000,-93.529936169999999,44.077416450000001,1,0
10,10,25.611999999999998,41.389000000000003,21.959000000000000,30.828674670000002,0.270097968000000,0.235474097000000,0.350273078000000,0.530551596000000,35.207000000000001,-0.062187500000000,-0.119676259000000,35.269187500000001,0.446206892000000,0.505670845000000,1.616000312000000,1.700967993000000,-93.529936169999999,44.077377450000000,1,0
