OID_,SOURCE_ID,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,X,Y,CLUSTER_ID,IS_SEED
1,1,56.704999999999998,82.951999999999998,53.255000000000003,65.657155880000005,0.202795580000000,0.187939022000000,0.303777690000000,0.641997782000000,55.944000000000003,-0.018479929000000,-0.043517251000000,55.962479930000001,0.363054566000000,0.389987323000000,1.462869236000000,1.493768883000000,-93.539628210000004,44.065646569999998,1,0
2,2,60.073000000000000,89.548000000000002,56.747999999999998,70.351368469999997,0.210447524000000,0.196997748000000,0.317368880000000,0.633715996000000,62.274999999999999,-0.026388653000000,-0.048945336000000,62.301388650000000,0.379276491000000,0.403384266000000,1.490653039000000,1.519187041000000,-93.539628210000004,44.065299170000003,1,0
3,3,61.671999999999997,89.894999999999996,56.045999999999999,70.771229379999994,0.208639768000000,0.186208080000000,0.295463825000000,0.623460704000000,62.072000000000003,-0.017119352000000,-0.055057246000000,62.089119349999997,0.359935939000000,0.400832942000000,1.457630691000000,1.504809276000000,-93.539473810000004,44.064913169999997,1,0
4,4,47.921999999999997,72.939999999999998,44.051000000000002,56.442455310000000,0.226639984000000,0.206996409000000,0.325708557000000,0.603934741000000,53.906999999999996,-0.035468398000000,-0.068330574000000,53.942468400000003,0.396983080000000,0.431855899000000,1.522056675000000,1.565350821000000,-93.537736809999998,44.064913169999997,3,0
5,5,59.247999999999998,85.908000000000001,54.932000000000002,68.088262799999995,0.201527294000000,0.183664471000000,0.295486788000000,0.639428226000000,57.636000000000003,-0.014797489000000,-0.044996202000000,57.650797490000002,0.355342309000000,0.387931605000000,1.449972995000000,1.486956940000000,-93.537698210000002,44.065646569999998,1,0
6,6,59.698999999999998,86.436000000000007,53.340000000000003,68.020360420000003,0.209271417000000,0.182960961000000,0.288129748000000,0.617103984000000,59.832999999999998,-0.014324602000000,-0.058954756000000,59.847324600000000,0.354069545000000,0.402311170000000,1.447863448000000,1.503197280000000,-93.537698210000002,44.065607970000002,1,0
7,7,60.287999999999997,87.259000000000000,54.837000000000003,68.934443720000004,0.205055879000000,0.182795990000000,0.290917916000000,0.628439473000000,59.393000000000001,-0.014110799000000,-0.051818326000000,59.407110799999998,0.353770946000000,0.394511206000000,1.447369294000000,1.493773322000000,-93.537698210000002,44.065569369999999,1,0
8,8,53.353000000000002,78.983000000000004,49.728000000000002,62.069130500000000,0.210249495000000,0.193673679000000,0.310260507000000,0.629603839000000,54.884999999999998,-0.023556552000000,-0.051431365000000,54.908556550000000,0.373343435000000,0.403216055000000,1.480385358000000,1.515481173000000,-93.537698210000002,44.065530770000002,3,0
9,9,52.869999999999997,78.298000000000002,49.368000000000002,61.544057740000000,0.210011050000000,0.193858258000000,0.310855746000000,0.630514189000000,54.357999999999997,-0.023707183000000,-0.050864094000000,54.381707179999999,0.373673484000000,0.402771581000000,1.480953282000000,1.515139764000000,-93.537698210000002,44.065492169999999,3,0
10,10,56.713999999999999,82.863000000000000,51.758000000000003,65.221788610000004,0.208805316000000,0.187344620000000,0.297760166000000,0.624621363000000,57.253999999999998,-0.018101236000000,-0.054364335000000,57.272101239999998,0.361984312000000,0.401040798000000,1.461067814000000,1.506241932000000,-93.537698210000002,44.065453570000003,1,0
11,11,63.066000000000003,89.957999999999998,57.323000000000000,71.544131949999993,0.198221808000000,0.175737139000000,0.281000199000000,0.637219591000000,59.527000000000001,-0.007918344000000,-0.046141851000000,59.534918339999997,0.340944699000000,0.382428453000000,1.426410427000000,1.472491539000000,-93.537698210000002,44.065414969999999,1,0
12,12,59.664000000000001,87.201999999999998,53.802000000000000,68.455915020000006,0.211685830000000,0.187504256000000,0.295903894000000,0.616981262000000,60.938000000000002,-0.018300875000000,-0.059198278000000,60.956300880000001,0.362271815000000,0.406329968000000,1.461551354000000,1.512761363000000,-93.537698210000002,44.065376370000003,1,0
13,13,59.060000000000002,86.882000000000005,54.834000000000003,68.418645310000002,0.208129098000000,0.190637376000000,0.305373842000000,0.631131880000000,59.869999999999997,-0.020908874000000,-0.050376539000000,59.890908869999997,0.367904156000000,0.399554528000000,1.471080257000000,1.507903182000000,-93.537698210000002,44.065337769999999,1,0
14,14,51.976999999999997,77.093000000000004,49.106000000000002,60.707875420000001,0.208027610000000,0.194592082000000,0.314091341000000,0.636970931000000,53.103000000000002,-0.024274874000000,-0.046833468000000,53.127274870000001,0.374984954000000,0.399136365000000,1.483213729000000,1.511544931000000,-93.539435209999994,44.065646569999998,1,0
15,15,55.654000000000003,82.659999999999997,52.136000000000003,64.931260609999995,0.210647724000000,0.195251385000000,0.313374643000000,0.630728285000000,57.530000000000001,-0.024911525000000,-0.050772381000000,57.554911529999998,0.376162295000000,0.403841860000000,1.485248140000000,1.517897537000000,-93.537698210000002,44.065299170000003,1,0
16,16,49.805999999999997,75.744000000000000,47.899999999999999,59.195160760000000,0.215823816000000,0.206594982000000,0.334037347000000,0.632393325000000,53.781999999999996,-0.034682041000000,-0.050066302000000,53.816682040000003,0.396276302000000,0.412594302000000,1.520780629000000,1.540670050000000,-93.537698210000002,44.065260570000000,3,0
17,17,44.948000000000000,70.445999999999998,43.524999999999999,54.397877549999997,0.228539664000000,0.220964695000000,0.354784399000000,0.617849133000000,52.418999999999997,-0.047312153000000,-0.059848099000000,52.466312150000000,0.421356492000000,0.434495873000000,1.567277743000000,1.584158042000000,-93.537698210000002,44.065221970000003,2,0
