OID_,SOURCE_ID,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,X,Y,CLUSTER_ID,IS_SEED
1,1,43.381000000000000,65.579999999999998,37.487000000000002,50.292221830000003,0.237195087000000,0.203733446000000,0.310588466000000,0.571622446000000,50.292000000000002,-0.033094341000000,-0.089439255000000,50.325094340000000,0.391228065000000,0.451245306000000,1.511721721000000,1.587049008000000,-93.531098439999994,44.077668660000001,2,0
2,2,47.079000000000001,68.730999999999995,40.101999999999997,53.380873620000003,0.223826249000000,0.186961402000000,0.285993554000000,0.583463066000000,50.280999999999999,-0.018089692000000,-0.080739135000000,50.299089690000002,0.361293932000000,0.428921033000000,1.459907815000000,1.540006705000000,-93.530981440000005,44.077902659999999,1,0
3,3,44.014000000000003,64.905000000000001,37.320999999999998,50.142291739999997,0.229581567000000,0.191803083000000,0.291781893000000,0.575009629000000,48.475000000000001,-0.022465810000000,-0.086539934000000,48.497465810000001,0.369994647000000,0.438920313000000,1.474644431000000,1.557910933000000,-93.529889440000005,44.077746660000003,3,0
4,4,43.384999999999998,63.677999999999997,36.390999999999998,49.198410510000002,0.229708592000000,0.189542606000000,0.287143423000000,0.571484657000000,47.579999999999998,-0.020487404000000,-0.088743430000000,47.600487399999999,0.365938364000000,0.439508532000000,1.467742307000000,1.556226841000000,-93.529889440000005,44.077707660000002,3,0
5,5,43.521999999999998,64.188000000000002,36.984999999999999,49.605624859999999,0.229166567000000,0.191867050000000,0.292202192000000,0.576198043000000,47.869000000000000,-0.022510799000000,-0.085759701000000,47.891510799999999,0.370109281000000,0.438140157000000,1.474840311000000,1.556978129000000,-93.529889440000005,44.077668660000001,3,0
6,6,43.210999999999999,63.945999999999998,36.829000000000001,49.371573060000003,0.230132928000000,0.193501125000000,0.294832784000000,0.575939074000000,47.851999999999997,-0.023964830000000,-0.086018085000000,47.875964830000001,0.373034824000000,0.439691772000000,1.479854667000000,1.560740601000000,-93.529889440000005,44.077629659999999,3,0
7,7,43.609000000000002,64.727000000000004,37.264000000000003,49.933072230000001,0.230978429000000,0.194930586000000,0.297135299000000,0.575710291000000,48.581000000000003,-0.025236264000000,-0.086245879000000,48.606236260000003,0.375589546000000,0.441049322000000,1.484257837000000,1.564043427000000,-93.529889440000005,44.077590659999998,3,0
8,8,42.680000000000000,62.938000000000002,36.417000000000002,48.679126709999998,0.228220302000000,0.191804427000000,0.292741434000000,0.578617052000000,46.779000000000003,-0.022431091000000,-0.084163762000000,46.801431090000001,0.369997056000000,0.436393371000000,1.474648547000000,1.554672687000000,-93.529889440000005,44.077551659999997,3,0
9,9,41.621000000000002,62.043999999999997,35.906999999999996,47.857699580000002,0.230934053000000,0.197009598000000,0.301410904000000,0.578734447000000,46.560000000000002,-0.027044106000000,-0.084359327000000,46.587044110000001,0.379297601000000,0.440680712000000,1.490689796000000,1.565826710000000,-93.529889440000005,44.077512659999996,3,0
10,10,41.771000000000001,62.222000000000001,35.405000000000001,47.853623159999998,0.234441028000000,0.196657467000000,0.298171692000000,0.569010961000000,47.268000000000001,-0.026848305000000,-0.090783225000000,47.294848299999998,0.378670184000000,0.447188894000000,1.489598046000000,1.573917322000000,-93.529889440000005,44.077473660000003,3,0
