OID_,SOURCE_ID,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,X,Y,CLUSTER_ID,IS_SEED
1,1,40.326999999999998,64.135999999999996,37.283999999999999,48.750350699999998,0.246066941000000,0.227918019000000,0.354411349000000,0.581327180000000,50.661000000000001,-0.054168342000000,-0.084223299000000,50.715168339999998,0.433326205000000,0.464640321000000,1.590398492000000,1.632497041000000,-93.539628210000004,44.065646569999998,3,0
2,2,38.753999999999998,62.752000000000002,36.085999999999999,47.405644590000001,0.252885038000000,0.236419522000000,0.366829716000000,0.575057369000000,50.664000000000001,-0.061750683000000,-0.088897610000000,50.725750679999997,0.447809116000000,0.475861787000000,1.619239304000000,1.658160790000000,-93.539628210000004,44.065299170000003,3,0
3,3,38.045000000000002,62.097999999999999,35.573999999999998,46.794205859999998,0.255678285000000,0.240186533000000,0.372516223000000,0.572868691000000,50.576999999999998,-0.065098698000000,-0.090588504000000,50.642098699999998,0.454172074000000,0.480413286000000,1.632224997000000,1.669136800000000,-93.539473810000004,44.064913169999997,3,0
4,4,67.519000000000005,98.221999999999994,61.000999999999998,77.303511450000002,0.209020076000000,0.185246861000000,0.293135383000000,0.621052310000000,67.924000000000007,-0.016297819000000,-0.056542678000000,67.940297819999998,0.358201535000000,0.401621326000000,1.454731261000000,1.504750250000000,-93.537736809999998,44.064913169999997,2,0
5,5,71.878000000000000,103.180000000000007,64.796999999999997,81.672538209999999,0.203142536000000,0.178809309000000,0.283890043000000,0.627999612000000,69.685000000000002,-0.010634758000000,-0.051965563000000,69.695634760000004,0.346538812000000,0.391322113000000,1.435487910000000,1.485929554000000,-93.537698210000002,44.065646569999998,2,0
6,6,70.060000000000002,102.650000000000006,62.441000000000003,80.300071770000002,0.215508539000000,0.188697817000000,0.295549973000000,0.608290307000000,72.799000000000007,-0.019417311000000,-0.064777951000000,72.818417310000001,0.364419788000000,0.413261484000000,1.465172709000000,1.522435545000000,-93.537698210000002,44.065607970000002,2,0
7,7,72.355000000000004,103.239999999999995,64.230000000000004,81.688915050000006,0.203736901000000,0.175887696000000,0.277331298000000,0.622142580000000,69.894999999999996,-0.008101741000000,-0.055532159000000,69.903101739999997,0.341219269000000,0.392734302000000,1.426853707000000,1.484587318000000,-93.537698210000002,44.065569369999999,2,0
8,8,66.590999999999994,98.432000000000002,59.875000000000000,76.829324979999996,0.217728018000000,0.192948862000000,0.302820786000000,0.608287955000000,70.397999999999996,-0.023142047000000,-0.064949444000000,70.421142050000000,0.372046699000000,0.416914645000000,1.478157709000000,1.531423779000000,-93.537698210000002,44.065530770000002,2,0
9,9,70.936000000000007,101.109999999999999,62.674999999999997,79.965208730000001,0.204296209000000,0.175383328000000,0.275886661000000,0.619869449000000,68.608999999999995,-0.007666975000000,-0.056939941000000,68.616666969999997,0.340299284000000,0.393841491000000,1.425369347000000,1.485366444000000,-93.537698210000002,44.065492169999999,2,0
10,10,73.186000000000007,103.620000000000005,63.777999999999999,81.977493420000002,0.204169620000000,0.172132167000000,0.269260714000000,0.615498938000000,70.275999999999996,-0.004819938000000,-0.059566721000000,70.280819940000001,0.334357495000000,0.393998170000000,1.415844560000000,1.482226918000000,-93.537698210000002,44.065453570000003,2,0
11,11,73.387000000000000,104.989999999999995,64.852999999999994,82.894437850000003,0.206019183000000,0.177169702000000,0.278381664000000,0.617706448000000,71.739999999999995,-0.009243103000000,-0.058363689000000,71.749243100000001,0.343555505000000,0.396871559000000,1.430634854000000,1.490758381000000,-93.537698210000002,44.065414969999999,2,0
